Date,Week,Open PR Count,Closed PR Count,Closed Today,Opened Today,Net Debt
2018-7-5,79,62,22708,1,18,17
2018-7-6,79,53,22748,40,31,-9
2018-7-7,79,55,22771,23,25,2
2018-7-8,79,67,22771,0,12,12
2018-7-9,80,76,22772,1,10,9
2018-7-10,80,55,22807,35,14,-21
2018-7-11,80,67,22814,7,19,12
2018-7-12,80,69,22835,21,23,2
2018-7-13,80,78,22860,25,34,9
2018-7-14,80,84,22880,20,26,6
2018-7-15,80,95,22885,5,16,11
2018-7-16,81,79,22921,36,20,-16
2018-7-17,81,110,22928,7,38,31
2018-7-18,81,130,22930,2,22,20
2018-7-19,81,145,22936,6,21,15
2018-7-20,81,155,22941,5,15,10
2018-7-21,81,101,23023,82,28,-54
2018-7-22,81,104,23025,2,5,3
2018-7-23,82,114,23030,5,15,10
2018-7-24,82,61,23113,83,30,-53
2018-7-25,82,74,23133,20,33,13
2018-7-26,82,83,23151,18,27,9
2018-7-27,82,91,23176,25,33,8
2018-7-28,82,71,23210,34,14,-20
2018-7-29,82,77,23211,1,7,6
2018-7-30,83,84,23215,4,11,7
2018-7-31,83,62,23280,65,43,-22
2018-8-1,83,68,23303,23,29,6
2018-8-2,83,84,23339,36,52,16
2018-8-3,83,84,23364,25,25,0
2018-8-4,83,82,23401,37,35,-2
2018-8-5,83,87,23403,2,7,5
2018-8-6,84,94,23404,1,8,7
2018-8-7,84,75,23454,50,31,-19
2018-8-8,84,93,23461,7,25,18
2018-8-9,84,86,23489,28,21,-7
2018-8-10,84,91,23511,22,27,5
2018-8-11,84,114,23517,6,29,23
2018-8-12,84,122,23519,2,10,8
2018-8-13,85,124,23522,3,5,2
2018-8-14,85,115,23557,35,26,-9
2018-8-15,85,107,23588,31,23,-8
2018-8-16,85,128,23595,7,28,21
2018-8-17,85,98,23642,47,17,-30
2018-8-18,85,90,23667,25,17,-8
2018-8-19,85,97,23667,0,7,7
2018-8-20,86,104,23668,1,8,7
2018-8-21,86,119,23678,10,25,15
2018-8-22,86,122,23700,22,25,3
2018-8-23,86,119,23731,31,28,-3
2018-8-24,86,129,23748,17,27,10
2018-8-25,86,101,23797,49,21,-28
2018-8-26,86,110,23810,13,22,9
2018-8-27,87,115,23822,12,17,5
2018-8-28,87,111,23847,25,21,-4
2018-8-29,87,118,23884,37,44,7
2018-8-30,87,108,23924,40,30,-10
2018-8-31,87,118,23940,16,26,10
2018-9-1,87,89,23989,49,20,-29
2018-9-2,87,96,23990,1,8,7
2018-9-3,88,106,23991,1,11,10
2018-9-4,88,121,23994,3,18,15
2018-9-5,88,128,24006,12,19,7
2018-9-6,88,117,24039,33,22,-11
2018-9-7,88,129,24053,14,26,12
2018-9-8,88,112,24093,40,23,-17
2018-9-9,88,120,24097,4,12,8
2018-9-10,89,127,24099,2,9,7
2018-9-11,89,90,24162,63,26,-37
2018-9-12,89,102,24179,17,29,12
2018-9-13,89,135,24184,5,38,33
2018-9-14,89,124,24225,41,30,-11
2018-9-15,89,98,24273,48,22,-26
2018-9-16,89,110,24275,2,14,12
2018-9-17,90,97,24297,22,9,-13
2018-9-18,90,96,24332,35,34,-1
2018-9-19,90,85,24376,44,33,-11
2018-9-20,90,84,24405,29,28,-1
2018-9-21,90,97,24428,23,36,13
2018-9-22,90,101,24465,37,41,4
